"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_100","JUN_110","JUN_130","AUG_100","AUG_110","AUG_130","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"ARCH9",507,899,369,115,4,0,41,16,106,14,34,72,152,138,343,112,311,32
"ARCH1",4753,9290,10914,6156,6018,10304,7709,3911,6378,3662,3655,5551,15117,9746,12203,8785,17643,6488
"ARCH3",274,561,2630,2702,2458,3824,896,683,1498,333,421,678,2112,1865,2103,1285,1854,1396
"ARCH4",0,3,11,7,14,21,4,4,4,3,2,7,15,9,8,10,9,11
"ARCH30",5,14,44,25,0,0,0,4,10,0,0,7,5,26,28,5,12,14
"ARCH6",711,1565,470,354,15,1,79,25,260,48,88,280,402,471,966,201,1050,119
"ARCH7",28,73,490,860,49,9,41,53,459,12,21,116,143,342,477,88,147,141
"ARCH57",31,42,36,13,5,6,14,7,10,6,10,1,13,7,10,11,47,4
"ARCH14",143,333,143,47,12,21,59,32,54,39,40,7,99,26,45,47,158,13
"ARCH26",24,35,31,4,1,0,5,0,8,0,5,0,86,39,131,37,132,3
"ARCH2",121,209,71,14,8,16,150,65,95,78,41,76,154,45,72,75,224,29
"ARCH35",20,48,31,5,0,2,19,3,10,9,8,3,28,15,11,28,21,2
"ARCH20",119,221,59,23,0,0,5,1,11,3,1,4,27,10,42,14,67,3
"ARCH13",7,12,14,5,0,0,2,0,8,1,1,6,6,12,15,6,14,2
"ARCH29",23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
"ARCH32",44,50,39,7,2,4,44,13,5,7,8,5,75,24,35,27,63,2
"ARCH34",39,126,17,1,0,0,5,4,27,1,1,5,8,9,12,4,33,2
"ARCH19",86,167,5,0,0,1,3,5,21,1,2,11,8,14,27,12,106,0
"ARCH36",0,0,6,23,0,0,0,3,16,0,3,5,10,23,35,4,5,4
"ARCH22",150,270,26,0,0,1,2,0,9,0,1,4,2,3,3,0,13,1
"ARCH50",7,18,5,1,2,7,8,2,12,0,1,2,3,4,6,4,16,3
"ARCH18",243,341,38,1,0,0,5,4,20,3,2,3,28,11,19,6,41,5
"ARCH10",127,261,4,1,0,0,1,2,17,2,0,7,5,7,21,8,68,1
"ARCH65",6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
"ARCH51",2,2,11,1,0,0,10,2,0,1,2,0,18,10,18,9,6,2
"ARCH11",49,110,2,0,0,0,1,0,7,4,2,6,7,16,38,13,113,5
"ARCH15",22,37,2,0,0,0,0,1,8,3,7,3,1,4,20,3,40,0
"ARCH63",0,0,1,0,17,30,0,0,1,0,0,0,0,0,0,0,0,3
"ARCH8",590,1093,4,1,0,0,6,0,26,2,4,2,12,23,38,16,177,4
"ARCH16",8,21,2,0,0,0,2,0,4,9,4,11,5,6,31,7,96,4
"ARCH28",0,1,0,7,99,112,0,0,5,1,0,0,0,0,0,0,3,12
"ARCH40",0,0,0,1,48,38,0,0,5,0,0,0,0,1,0,0,0,9
"ARCH37",0,0,0,1,72,50,0,0,4,0,0,0,0,0,1,0,0,8
"ARCH42",0,0,0,1,53,63,0,0,1,0,0,0,0,1,0,0,0,4
"ARCH52",0,0,0,0,29,26,0,0,2,0,0,0,0,0,0,0,0,4
"ARCH24",76,121,0,0,0,0,2,0,9,2,5,10,3,4,3,0,15,1
"ARCH61",18,47,0,0,0,0,0,0,4,0,0,1,0,0,3,0,3,0
"ARCH130",11,19,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0
