"","Domain","Phylum","Class","Order","Family","Genus"
"ARCH79","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH80","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_III","Marine_Group_III_fa","Marine_Group_III_ge"
"ARCH81","Archaea","Euryarchaeota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1_fa","Marine_Benthic_Group_D_and_DHVEG-1_ge"
"ARCH82","Archaea","Asgardaeota","Asgardaeota_unclassified","Asgardaeota_unclassified","Asgardaeota_unclassified","Asgardaeota_unclassified"
"ARCH83","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH84","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH85","Archaea","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified"
"ARCH86","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH87","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH88","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH89","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH90","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH91","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH92","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH93","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH94","Archaea","Asgardaeota","Asgardaeota_unclassified","Asgardaeota_unclassified","Asgardaeota_unclassified","Asgardaeota_unclassified"
"ARCH95","Archaea","Asgardaeota","Odinarchaeia","Odinarchaeia_or","Odinarchaeia_fa","Odinarchaeia_ge"
"ARCH96","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH97","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH98","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH99","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH100","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_III","Marine_Group_III_fa","Marine_Group_III_ge"
"ARCH101","Archaea","Euryarchaeota","Methanomicrobia","ANME-1","ANME-1b","ANME-1b_ge"
"ARCH102","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH103","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH104","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus"
"ARCH105","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae"
"ARCH106","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
"ARCH107","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_III","Marine_Group_III_fa","Marine_Group_III_ge"
"ARCH108","Archaea","Euryarchaeota","Methanomicrobia","ANME-1","ANME-1b","ANME-1b_ge"
"ARCH109","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge"
