"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT1445",1,1,38,113,102,51,4,7,5,6,122,71,2,2,8,22,128,11,5,53,49,15,4,98
"BACT188",42,41,58,10,2,0,10,26,9,19,6,0,18,8,14,17,7,0,15,2,10,6,5,1
"BACT62",26,16,56,12,0,0,19,22,31,49,12,3,11,8,7,6,7,0,33,10,45,46,54,9
"BACT2",3471,3049,2175,437,12,14,2255,1996,3770,1697,2416,155,1663,1195,1649,952,677,15,1386,1302,2573,2187,1703,124
"BACT4",1355,1269,2133,716,22,15,1589,1117,1694,1037,1438,65,1129,762,1067,668,392,6,2075,1274,2955,2427,1518,127
"BACT9",85,98,649,1545,873,340,291,248,223,364,875,153,131,88,123,235,508,40,222,424,772,321,117,211
"BACT7",12,13,396,2102,1445,638,76,63,94,188,1304,2217,10,12,42,343,1780,132,37,638,550,98,19,2397
"BACT13",108,84,470,62,8,14,198,222,282,329,98,0,302,225,253,169,58,0,719,170,455,407,216,14
"BACT154",5,2,29,42,5,5,26,7,14,9,19,0,2,5,8,15,9,0,32,12,59,35,14,2
"BACT143",55,35,20,0,0,0,10,5,19,5,8,1,7,4,15,5,2,0,14,17,21,34,28,0
"BACT5",2993,2599,500,54,0,4,219,445,444,486,354,28,377,289,420,306,222,2,513,250,877,515,558,31
"BACT1",47,64,2017,6921,7295,3986,527,480,797,1147,9626,7438,118,197,454,2161,8919,523,224,3618,2857,693,150,6575
"BACT644",22,18,3,0,0,0,1,4,6,11,7,0,3,5,2,3,0,0,9,7,12,9,15,1
"BACT71",45,40,5,1,0,0,17,50,42,40,19,2,11,6,7,3,6,0,6,13,16,14,22,6
"BACT3",0,2,49,168,218,132,13,33,40,44,427,389,6,12,13,49,336,11,5,116,95,23,4,280
"BACT98",3,6,28,62,20,6,23,10,6,14,15,2,9,8,6,18,20,2,45,14,39,15,6,1
"BACT31",224,238,32,3,2,0,46,47,48,48,48,0,45,27,42,34,26,1,40,33,120,60,77,6
"BACT15",502,436,186,44,4,1,207,141,215,130,164,7,147,114,124,83,55,0,201,247,524,359,390,14
"BACT192",0,0,16,115,3,0,0,0,0,0,4,0,0,0,1,7,11,0,0,14,2,1,0,2
"BACT47",12,12,55,86,3,2,69,41,33,61,24,1,21,17,24,21,17,1,62,23,70,60,21,2
"BACT6",2,2,16,79,280,92,16,45,52,114,979,4846,0,3,6,74,1447,4177,0,88,50,14,2,1393
"BACT243",7,0,1,0,0,0,12,23,23,29,9,0,6,5,6,3,3,0,0,0,3,2,1,0
"BACT90",18,13,18,70,17,5,15,10,11,15,12,1,14,4,19,29,26,2,18,25,53,21,15,2
"BACT176",70,68,44,14,2,1,8,7,10,7,1,0,8,10,7,7,1,0,4,7,5,13,18,1
"BACT93",3,5,12,1,11,5,27,17,21,35,43,3,5,11,9,4,7,4,37,27,77,48,22,6
"BACT74",30,27,73,32,0,2,24,63,59,75,43,3,20,16,25,15,6,0,74,18,45,50,16,4
"BACT8",791,748,806,197,9,0,1500,1074,1074,1176,819,28,536,398,473,345,225,5,962,311,1377,968,669,41
"BACT58",0,5,42,145,17,8,30,20,7,25,27,5,3,4,11,41,42,1,21,13,31,17,9,7
"BACT82",57,49,57,7,0,0,33,29,38,16,28,2,25,17,32,19,8,0,22,21,51,45,34,0
"BACT94",26,25,24,1,0,0,26,19,20,26,17,1,8,5,17,7,6,0,13,10,51,29,20,0
"BACT65",17,8,2,2,3,5,1,0,1,2,0,0,1,0,2,3,1,0,72,36,63,111,100,12
"BACT17",134,92,74,84,8,6,322,255,194,236,101,11,93,49,71,66,25,3,131,87,283,246,194,16
"BACT10",392,346,121,7,0,0,321,379,507,546,174,5,424,351,399,247,106,1,818,198,495,446,324,8
"BACT59",70,60,19,1,0,0,16,24,35,37,13,0,48,27,41,24,18,0,12,6,8,5,6,0
"BACT43",95,100,9,1,0,2,60,32,16,29,31,2,8,9,18,13,14,1,14,16,63,33,56,1
