function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K00003,3489,6741,4594,4225,2894,4236,1424,941,2758,594,717,1335,3457,3169,4574,2044,4905,1843
K00008,5023,9818,11228,6251,6220,10545,7894,3986,6491,3741,3730,5578,15415,9853,12363,8939,18023,6550
K00012,401,774,287,74,96,95,149,59,117,61,69,23,221,82,114,120,325,34
K00013,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K00014,5574,10871,13962,8968,8761,14440,8945,4736,8110,4152,4194,6337,17684,11769,14545,10302,20121,7985
K00015,5016,9800,11223,6250,6218,10538,7886,3984,6479,3741,3729,5576,15412,9849,12357,8935,18007,6547
K00020,5418,10587,13928,8959,8522,14205,8940,4734,8073,4151,4192,6332,17681,11762,14538,10299,20098,7951
K00021,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K00024,13022,25359,26492,16552,14947,24865,16893,8783,15525,7936,8037,12446,33789,22701,29051,19660,40269,14835
K00027,2699,5207,1602,1428,321,284,228,132,1057,119,185,552,956,1171,2280,557,2500,374
K00030,0,1,1,8,164,180,0,0,11,1,0,0,0,1,0,0,3,24
K00031,5568,10857,13954,8960,8594,14256,8942,4734,8086,4151,4193,6336,17683,11765,14542,10299,20111,7960
K00050,5016,9799,11222,6242,6054,10358,7886,3984,6468,3740,3729,5576,15412,9848,12357,8935,18004,6523
K00052,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K00053,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K00054,5023,9818,11228,6251,6220,10545,7894,3986,6491,3741,3730,5578,15415,9853,12363,8939,18023,6550
K00058,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K00059,15903,31033,38848,24085,23376,39004,25609,13385,22587,11966,12045,18225,50503,33293,41311,29398,57888,22436
K00067,5323,10366,13700,8887,8573,14216,8798,4677,7995,4090,4126,6318,17465,11689,14435,10182,19806,7936
K00077,3071,5945,4265,4130,2620,3944,1247,868,2632,516,643,1304,3175,3069,4428,1899,4518,1774
K00088,8394,16303,15545,10383,8984,14591,9145,4854,9149,4257,4375,6890,18594,12928,16799,10838,22567,8342
K00096,7842,15245,12813,7665,6444,10693,8089,4104,7531,3846,3911,6130,16323,11011,14614,9474,20460,6905
K00100,4755,9292,10925,6157,6018,10304,7719,3913,6378,3663,3657,5551,15135,9756,12221,8794,17649,6490
K00104,6,14,8,8,167,184,3,2,24,1,1,1,1,4,3,3,10,25
K00111,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K00122,7,18,5,1,2,7,8,2,12,0,1,2,3,4,6,4,16,3
