function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K00001,20005.5,17788.33,15881.83,6687.75,3166.75,2025.5,15622,13404.58,20477.83,13009.83,15324.33,3016.75,11319,8179.08,11252.5,7375.25,6275.25,1802.33,14706.83,10288.42,22506.17,18000.08,13358.25,1933.08
K00002,208.5,213.5,26,7,1,2,17.5,52,45,53,27,3,31.5,31,40,25.5,31.5,1,59.5,30,94,69.5,58.5,4
K00003,18251.2,16262.5,15131,16556.95,14966.75,8688.5,13409,11951.75,16583.5,12771,24568.5,14314.75,8771,6593.15,9156.7,8872.25,17734.45,2963.9,11700,12539.25,22230.5,14909.75,10631.75,12526.25
K00005,32,32,11,3,2,0,61,78,36,22,24,3,8,11,13,11,13,2,3,14,21,9,31,2
K00007,613,574,90,19,4,1,171,325,454,361,185,28,271,220,357,265,167,3,136,103,225,178,196,9
K00008,1849,1737,1117,1777,1297,721,1211,1431,1647,1748,1478,244,1112,883,1177,957,986,162,1578,916,2029,1471,1136,315
K00009,0,0,0,0,0,0,0,0,0,0,0,0,24,1,81,70,18,7,0,0,1,2,0,0
K00010,3059.5,2897.5,3664,2521,936,380.5,2597.5,2249,2988,2405.5,2989.5,271.5,2088,1493.5,2024,1517.5,1299.5,66.5,3445.5,2282,5086.5,3773,2595.5,401
K00012,12864.9,11451.49,13208.49,17505.48,16855.25,10005.33,12163.83,10894.24,13350.33,12317.83,22687.83,14396.58,7155,5410.71,7503.07,8167.58,17587.48,3418.96,10695.99,11678.09,20461.84,13477.41,9360.92,12810.91
K00013,11293.7,10029.16,12334.16,16465.28,15841.25,9422.33,11204.83,10176.91,12521,11421.5,21771.5,14296.58,6670,5040.98,7004.87,7661.58,16922.28,3208.23,10047.66,10839.92,18664.17,12317.58,8230.42,12585.58
K00014,15672.7,13813.16,12592.16,15179.28,14863.25,8927.33,11441.83,10666.91,13198,11815.5,21493.5,14247.58,7209,5457.98,7581.87,8001.58,16943.28,3150.23,10631.66,11112.92,19562.17,13098.58,9493.42,12506.58
K00015,13230.7,11603,7382.5,2748.7,880,540,6353.5,5958,8513,6159.5,6404.5,411.5,5368,3949.4,5284.2,3504.5,2409.7,307.9,7908,4598.5,11140,8426,6271.5,557
K00016,254,261,49,31,5,2,66,72,65,79,60,0,82,44,133,116,46,9,81,62,179,121,135,12
